;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2016;7;2;8.2;0.2;0;0;1.8;1.8;3.2;0;6.8;6.2;0;0.2;0.2;0;9.8;0.2;20.4;10.2;0.2;0;1.4;12.2;0;0;0;0;0;0;1.2;0
2016;8;0;0.6;41.6;1.2;0;0;0;0;19.2;0;0.8;34.2;3.4;0.2;0.4;0;0.6;0.2;3.4;0;0;4.4;2.4;0;1.2;0;6.2;7.2;5.2;7.2;0.8
2016;9;8.4;0;0.2;0.2;0.2;0;0;0.8;0.2;40.6;4.2;26.8;0.4;0;10;0.4;0;0;0;0;18.6;15.2;5.2;0.2;1.2;0.2;0;8.4;0;3.2;-
2016;10;0.2;1.6;18.8;6.2;28.8;77.8;14.4;3.8;5.8;1.2;5.8;71;4;27.6;3.2;17.4;31.8;39.4;26;0.2;43.2;5.8;0.2;0.2;0;1.8;2;2.8;0;2.4;30.8
2016;11;13.6;0.2;4;0.2;0.4;0.2;0.2;0;0;0;13.2;5.4;0.2;17;1;4;15.2;17.8;89.4;100.2;4.2;0.4;64.6;28;0.2;1;21.8;13.8;4.6;2.4;-
2016;12;6.4;0;0.2;28;3.2;0.2;0;19.4;35;0.6;12.8;6;0.2;0;0;3.2;0;0;0.2;0;0;0.2;0.2;0;0;3.6;0.2;0;0;0;2.8
2017;1;0.4;0;0;0;0;0;0;20;2;0;0.2;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0.2
2017;2;0;0;0;0;0.2;0;1.8;0;0.2;0;0;0;0.2;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0.2;-;-;-
2017;3;0;0;0.2;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.6;1;0;0.4;0.2;0;0;0;0;0;0
2017;4;0;16.2;0.2;0.2;0;0;0.8;0;0;0;0;0;0;0;0.2;0.2;2.2;0.2;27.8;0;3;1.8;0;0.2;0;8.8;0.2;0;2.6;0.2;-
2017;5;0;0.8;1.4;7.2;27.8;7.2;29.2;30;37.4;0.2;7.2;31;2.4;30.6;3;34.2;11.2;2.4;30.8;12;29.6;23.4;0;1.2;2.4;20;0.2;113.4;29.6;0.8;1
2017;6;0.8;0;0;1;1;0;15.2;35.6;3.2;21.8;0.4;2.2;2;3;26;1.8;4;81.4;6.4;7.2;0;5.6;0;0.2;0.2;0;6;14.2;0.2;0;-
2017;7;0.8;2.4;0;33.6;7.2;0;3.8;0;3.2;1.6;16.6;7.4;0.4;0;0;0;1.8;0.6;4.6;0;1.2;0.2;0;0;1.4;0;0;5.2;2;12;4.4
2017;8;0.4;0.6;0.2;0.2;4;78.4;3;0.2;4.6;0.2;0;1.2;2;0;0;0.2;0.6;1.4;9.8;1.6;0.2;0;3.4;12.6;20.2;0.8;0;1.6;23.6;0.4;0.2
2017;9;0.2;0.2;0.2;0;2;0.2;0;8.4;2.2;33.8;5.6;0.2;0;2;0.2;8.6;29.4;11.2;48.2;23;32.2;61.6;17;12.2;21;27;11.2;24.2;2.6;27.6;-
2017;10;26.8;17.6;10.8;116.6;65;0.2;0;0;3.6;1.2;0;2.2;0.2;0;0;0;0;0;1;0;8.8;0.2;78.8;35.6;1.4;48.4;14.8;1.2;0.2;6.2;28
2017;11;0;0.2;0;48.2;0.4;0;3.6;0.4;1.6;0.2;0;1.4;3;2.6;0;2;0.4;0;0;1.8;26.4;20.8;10.4;10.2;0.6;0.8;1;8.4;20.4;0.2;-
2017;12;0;0;0.2;0.2;2.8;0;20;4.6;14.8;53.6;3.6;1.6;0.2;0.2;0;0;0;0.2;2.4;0.6;0.4;0.4;0.2;0;0;0;0;0;0;2.2;1.2
2018;1;0.2;0;9.6;0.4;1.2;0.8;11.4;0.6;0;0.8;0.2;0.2;11.2;50.4;21.6;0;1.8;5.4;0.6;0;0;0.8;0.4;0;0.4;0;0;0;0;0;1
2018;2;0.4;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;-;-;-
2018;3;0;0;0;0;0;0;0;0;0.6;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0
2018;4;0.2;0.4;0;0;1.6;8.4;4;0.2;0;0;0;0.2;12.4;0.2;0;0;0;0.2;0;0;1;0.2;0;0;0.2;0.2;5.6;3;0.2;1;-
2018;5;0.2;0;0;0;1.8;0;0;0;0;0;0;11.4;1.4;6.8;0.2;2.8;6.2;0.2;7.2;12;13.8;11.6;35.2;5;21.4;59;13.4;21;23.4;5.4;11.2
2018;6;0.2;14.4;18;3.2;0.2;1.8;0.4;0;0;35.2;16;18.8;5.6;5.8;3;1.2;3.4;0.2;0.6;22.8;15.4;0;9.4;1;0.8;5;1.4;5.2;4.4;0;-
2018;7;0.6;1.8;2.4;0.4;8.2;2;2;0;0;2.2;5.6;0.2;40;31.8;9.4;4.6;0.6;8.2;0.2;2.2;4.4;0.8;2.2;0.2;6.8;2.6;7;0.2;0;1.6;0
2018;8;17.2;41.4;0;0.2;0;0;0;0;2.8;0.2;19.8;0;0;9.4;0;6.2;0.2;0.2;0;0;0.8;3.4;0;5.2;0.2;0.8;0;0;1.2;4.6;0.2
2018;9;0;0.4;0;0;19.8;5.8;16.4;2.6;27.6;8.8;0.4;0;0;0;7.8;0.2;12;2.8;1.2;1;0;5;13.8;1.8;0.2;12.2;4.6;43.6;2;49.2;-
2018;10;24.6;33.8;0;25.8;24;0;0;26.8;0;2.4;15.8;12.8;5.6;9.8;44.6;4;16.6;4.8;2.6;11.6;7.4;0.2;0;0.8;0;0;0;1.8;1.6;0;0
2018;11;0;3.2;0.2;17.8;8.6;0;0.2;0.2;0;0;1.2;0.8;13.8;4;1.6;0.2;0.4;0.4;3.8;2.6;1.4;2.6;0.2;0.4;0.2;0;14;0.8;0.4;1.8;-
2018;12;0;0;0;0;0;0.2;0.4;0;0;0;0;0;0;0;0.2;0;0;0;0;0;3.2;2.6;0;0;0;0;0;0;0;0;0
2019;1;0;0;0;0;0;0;0;0;0;1.6;0.4;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.8;0;0;-;-;-
2019;3;0.2;0;0;0;0.2;0.2;0;0;0;0;0.8;0;0;0;0;0;0.6;0;0;3.2;0.2;0;0.2;0;0;0;0;0;0;0;0
2019;4;0;0;0;0;0;0;0;0;6.6;5.4;0;0;0;0;0;0;0;3.2;4.4;0;0;0;0;0;0;0;0;0;4.4;1.8;-
2019;5;0;0.2;0.2;0;0;0.2;4.2;46.4;0.2;0;8.8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2019;6;-;-;-;-;-;-;-;-;-;-;-;23.6;5.2;0.4;0;0;0;0;0;1.6;0;0;0.8;0;2.4;0.2;0.2;0.2;0.6;0;-
2019;7;0;0.4;14.4;0.2;0;0;3;10;0.6;0.6;0.2;0;0;21.4;4.6;0.2;0;6.2;0.2;0.2;0;3.8;1.6;0;5;2.6;0.2;1.2;0.2;0;0
2019;8;0.2;0.4;0;0;0;1;25;0;0.2;0;0;10.8;0.4;26.4;5.6;7.8;4;23;18.6;0.2;0;0;0;0;0;0.4;0.2;0;0.8;0.4;0.2
2019;9;0.2;0.4;2.6;0;0;0;5.4;0;0;0;0;9.8;0;0;8.4;0.2;0;0.6;8.6;5.4;16.8;29;22;7.6;10;5.8;22.6;14.4;0;0;-
2019;10;14.4;1.6;0.2;0;1.4;32.4;0;0;1.6;25.8;10;59;2.4;67;2.8;0;0;4.2;0.4;32.4;0.2;11.8;0.8;24;23.4;8;0;26;0;4.2;0.2
2019;11;2.6;1.2;0.2;0;0;6.6;0.2;0;0.4;2;0;0.2;1;39.8;0;1.8;18;5.8;6;3.4;0.2;0;0;0.2;0.2;0;0.6;27.2;4.4;0;-
2019;12;0;1.6;1.6;0;2;8.2;0;0;0;0;0;0;0;0;0;0;5.8;0.4;9.2;0.2;0;0;1.6;1;0.2;5;0.4;0;0;0;0
2020;1;0;0;0;0.2;0;0;0;0.2;0.2;0;0;0;1.2;0.8;0;0;0;0;0;0.8;0.4;0.6;0;0;0;0;0;3.6;2.8;0.2;0
2020;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0.2;0;-;-
2020;3;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
