name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Cartago, costa rica",2014-09-21,28.1,18,21.7,29.6,18,21.8,18.5,83.4,11.277,100,8.33,rain,,,,17.8,78.1,1012.6,85.4,9.6,153.4,13.3,6,,2014-09-21T05:23:57,2014-09-21T17:31:27,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-09-22,26.7,17,21.5,27.8,17,21.5,18.2,82.8,16.411,100,12.5,rain,,,,19.6,45.5,1012.3,77,10.6,250.7,21.6,9,,2014-09-22T05:23:52,2014-09-22T17:30:50,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-09-23,27.8,17,21.3,28.8,17,21.4,18.6,85.7,2.981,100,12.5,rain,,,,23.1,320.2,1011.5,84.9,10.5,165.9,14.4,6,,2014-09-23T05:23:47,2014-09-23T17:30:13,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-09-24,25,18,21.3,25,18,21.3,19.2,88.1,3.723,100,4.17,rain,,,,15.7,257.3,1011.5,81.3,9.7,142.9,12.5,6,,2014-09-24T05:23:42,2014-09-24T17:29:35,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-09-25,26.4,18.9,21.5,26.4,18.9,21.5,19.5,89.6,18.093,100,8.33,rain,,,,19.1,332.9,1011.8,87.4,9.5,82.1,6.9,3,,2014-09-25T05:23:37,2014-09-25T17:28:59,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-09-26,28.1,18,21.6,29.3,18,21.7,18.6,84.5,22.732,100,8.33,rain,,,,21.1,300.9,1010.8,73.9,11.3,122.4,10.4,6,,2014-09-26T05:23:33,2014-09-26T17:28:22,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,remote,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-09-27,27.8,17,22,29.7,17,22.3,18.6,82.4,9.487,100,12.5,rain,,,,16.6,58.5,1010.1,74.4,10.5,166.7,14.4,7,,2014-09-27T05:23:29,2014-09-27T17:27:45,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-09-28,27.4,18,21.8,29.1,18,22.1,18.6,83.2,11.81,100,12.5,rain,,,,15.6,29,1010.4,80.4,11.6,113.9,9.8,5,,2014-09-28T05:23:24,2014-09-28T17:27:09,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-09-29,28.7,19,22.5,30.6,19,22.8,19.9,84.5,11.257,100,8.33,rain,,,,15.9,343.5,1010.4,88.6,10,135.2,11.8,5,,2014-09-29T05:23:21,2014-09-29T17:26:33,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-09-30,28.8,18.4,22.6,30.7,18.4,23,19,81.2,18.039,100,8.33,rain,,,,16.3,39.6,1009.7,76,12.6,136.5,12,6,,2014-09-30T05:23:17,2014-09-30T17:25:57,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
