2008;1;1;3.8
;;2;26.9
;;3;34.6
;;4;3.8
;;5;0.6
;;6;0.2
;;7;0.1
;;8;0
;;9;0.1
;;10;0
;;11;0
;;12;0
;;13;0
;;14;0
;;15;0
;;16;0
;;17;0
;;18;0
;;19;0.9
;;20;0
;;21;0
;;22;0
;;23;1.2
;;24;6.5
;;25;0.1
;;26;8.2
;;27;3.5
;;28;0.1
;;29;0
;;30;0
;;31;0.2
;2;1;0
;;2;0
;;3;0
;;4;0
;;5;0
;;6;0
;;7;0
;;8;0
;;9;0
;;10;0.2
;;11;0.3
;;12;0.4
;;13;0.1
;;14;4.2
;;15;0.2
;;16;0.1
;;17;0
;;18;0
;;19;0.1
;;20;0
;;21;0
;;22;0
;;23;0
;;24;0
;;25;0
;;26;0
;;27;0.1
;;28;0.1
;;29;0
;3;1;0
;;2;0
;;3;0
;;4;0
;;5;0.8
;;6;6.2
;;7;2.4
;;8;0
;;9;0
;;10;0
;;11;0
;;12;0
;;13;0
;;14;0
;;15;0
;;16;0
;;17;0
;;18;0
;;19;2.2
;;20;12.1
;;21;0.2
;;22;0
;;23;0.2
;;24;0.1
;;25;0
;;26;0
;;27;0
;;28;0
;;29;0
;;30;0
;;31;0
;4;1;0
;;2;0
;;3;0
;;4;0.4
;;5;4.2
;;6;0
;;7;0
;;8;1.5
;;9;2
;;10;0.2
;;11;0
;;12;0.2
;;13;0
;;14;0.6
;;15;0
;;16;3
;;17;4.1
;;18;0.2
;;19;2.2
;;20;2.1
;;21;0
;;22;0
;;23;0
;;24;0.1
;;25;0
;;26;0
;;27;0
;;28;0
;;29;1.1
;;30;2.4
;5;1;0.2
;;2;0
;;3;0.3
;;4;0
;;5;0
;;6;0
;;7;0
;;8;1.2
;;9;3.4
;;10;9.5
;;11;0.3
;;12;0
;;13;0
;;14;0
;;15;0
;;16;0
;;17;0
;;18;16.5
;;19;0
;;20;30.5
;;21;31.7
;;22;40.7
;;23;8.3
;;24;8.2
;;25;52.6
;;26;16.4
;;27;17.8
;;28;21.2
;;29;44.4
;;30;7
;;31;1.1
;6;1;2.7
;;2;1.2
;;3;21.2
;;4;2.1
;;5;5.4
;;6;8.2
;;7;7.4
;;8;6.4
;;9;12.2
;;10;4.2
;;11;0.4
;;12;10.5
;;13;14.2
;;14;0.3
;;15;1.1
;;16;0.6
;;17;0.2
;;18;0
;;19;0
;;20;0.5
;;21;5.5
;;22;0.3
;;23;0
;;24;0.6
;;25;0
;;26;0
;;27;8
