;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2012;4;0;0.8;1;0.3;0;0.3;0;0.3;0;1;0;0;0;0;0;6.9;41.2;11.9;10.9;1.3;17.8;0;7.1;1.5;0.3;0;3.3;0.3;1.5;0.3;-
2012;5;1.3;0.3;0;11.4;0;0;8.7;0.5;0;0.3;0.5;0.5;1.3;1.5;24.4;0;0;0;0;17.3;9.9;24.1;1;1.8;0.3;5.6;0.3;0.5;8.6;1.8;20.3
2012;6;3.3;3.6;0;0;0.3;0;0.5;0;6.3;0.3;18.3;26.9;16.8;0.3;0;0;4.1;0.8;0;0;0;5.3;10.2;0;0;1.3;0;2.3;2.5;6.9;-
2012;7;0;0;0.5;5.3;5.6;2.5;4.1;1.5;4.3;1;0.5;0;0;0.8;11.7;0.3;0;0.8;5.8;13.4;2.3;0.3;7.4;15.2;0.5;0.8;23.4;62.5;16.8;1.3;1
2012;8;1;2.3;0;0;0;2.5;2.8;0.3;-;-;-;-;-;-;-;0;0.8;7.4;1.8;1;0;5.1;10.4;0;5.3;3.3;0.3;0;1.8;0;0.3
2012;9;0;1.8;2.5;4.1;3.6;0.8;0.3;3.6;1;8.6;6.3;0;0;7.9;1.3;0.3;0;1.8;0;0.3;2.5;0.3;0;5.6;0.3;0.3;17.3;7.1;9.4;25.2;-
2012;10;1.5;1.3;0;2.8;4.1;18.8;0.8;13.9;12.7;1.8;0.5;0.5;0.5;20.6;6.8;3;1.3;20.3;2;11.9;5.3;23.6;0.8;12.9;14.5;0;3;0.3;3;0.3;10.9
2012;11;5.1;33;5.1;0.5;0.3;18.5;4.3;18.1;17.5;1.3;0.3;0.3;4.8;61.7;0.3;34.3;41.4;11.4;26.9;49.3;32.5;24.6;1.3;4.3;33.3;8.6;0.5;11.7;14.7;4.3;-
2012;12;0;9.6;0.3;2;7.4;0.8;0.5;4.3;0;0.3;0.3;0.5;3.5;11.2;4;0.3;0.5;0.3;0;0.3;9.6;0.5;6.1;2.5;31.5;0;7.6;6.8;7.9;12.4;0.8
2013;1;0.3;0.3;0.5;0.3;0.5;0;0;0;0;0.3;0.8;0;0;0;0;0.3;0.8;1.3;0.8;0.5;0.3;0;0.3;0.3;1.5;0.5;0;0;0;0;0.8
2013;2;1.3;0.3;0.5;0;0;0;0;0;0;0;0;0.3;0;0.8;0.5;0;0.5;1.5;0;0.5;0.3;0;0;0;0;0;0;0;-;-;-
2013;3;2.3;13.5;8.9;0;0.3;2.3;4.3;11.2;0.3;0;0;0;0.8;0.8;0.3;0;0;3.6;0;0;0;0;0;0;0;0;0;5.3;2.5;0;0.3
2013;4;15;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.9;13.5;1.3;19.6;4.8;0;0;0;0.5;1.3;0.3;0;0;-
2013;5;0;0;21.1;0.8;0;0;0;0;1.5;4.6;0.3;4.1;13.2;2;0.8;0;0.8;3.6;0.3;0.5;15;20.8;0.5;23.4;7.4;0.3;0.5;0;37.8;28.2;0.3
2013;6;12.7;0;0;24.1;0.3;1;0.3;1;0;1;0.3;1.8;7.6;1.3;0.3;6.1;0;10.9;0.3;0.3;2;4.6;3;8.4;12.2;2.3;1.3;0;33.8;2;-
