;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2012;7;0;0;0.4;2.7;1.4;0.7;1.9;0;0;0.8;0;0;0;0;1;0;0;1.7;0.1;1.4;2.3;3.3;0.3;15.3;0;0.2;32.8;119.3;11.4;0.1;0
2012;8;0;6;0;0;0;9;8.8;0.8;2.5;7.4;0;0;0.3;0.6;21.2;3.5;0.2;1.2;0.6;0.5;0.2;0;0.4;0;3.6;0.1;0;0;1.5;6.3;2.6
2012;9;0;1.2;0;0.5;0.5;1.3;1.6;2.3;17.7;2;4.2;0;0;0.6;0.3;0.1;0;0;0.2;0;1.7;0.6;0.5;0.1;0;0;10.7;2.4;9;28.7;-99
2012;10;0.1;0.4;0;0.2;0;0;0;8;28.9;3.3;0;0;0;6.7;16.4;3.7;12.7;19.3;1.5;7.3;18.4;7.2;1.4;10.6;27.7;19.6;0;0;0;0;0.7
2012;11;0;3.4;3.4;0.5;0;11.6;0.3;3;5.4;0.3;0.6;0;0.3;7.4;0;4.6;29;2;3.4;4.9;3.2;4.3;0.3;0.9;9.8;3;0;5.1;5.4;2.2;-99
2012;12;0;0;0;0.1;1.1;0.2;0;0.4;0;0;0;0;1.1;0.5;0.8;0;0;0;0;0;4.8;1.8;4.8;0.2;1.5;0;4.6;9.9;2.2;23.7;0
2013;1;0;0;0;0;1.4;0;0;0;0;4.1;0;0;0;0;0;0;0;0.1;0.6;0.1;0;0;0;0;0;0;0;0;0;0;0.8
2013;2;0.9;0.1;0;0;0;0;0;0;0;0;0;0.8;0.1;0;0;0;0;0.8;0;0.8;0.1;0;0;0;0;0;0;0;-99;-99;-99
2013;3;1.8;2.9;3.9;1;0.2;6.4;19.5;13.8;0.6;0;0;0;0.5;2.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;3.3;2.4;0;0.1
2013;4;6.4;5;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
2013;7;-99;-99;-99;0;16;0.4;1.6;0;0;0.1;0.1;0.1;0;0;0;0;12.8;0.1;2.9;0.1;19.8;1.6;0;0;0.8;6.6;9.9;9.8;0.2;0.1;0
2013;8;0.6;1.1;3.5;0.5;1.6;0.3;0;0;0;0.1;0;4.7;1;0.1;0;0;4.3;0.7;0.1;0;0.2;7.6;25.3;5;0.4;0;6.8;0;0;0;15.6
2013;9;9.7;13.2;0;0;0.6;3.5;6.5;1.9;10.7;11.1;3.8;15.9;6.8;0;0;25.7;0;57.6;0;0;12.1;19.8;0;0;5.7;7.5;0;8.4;3.1;20.2;-99
2013;10;0.7;21.5;4.1;4.1;0.3;2.4;3;0.1;0;0.1;0;0;0.3;0;10.3;2.2;0.4;0.9;24.6;23.5;5;6.6;2.9;3.2;15.1;19.8;1.2;0.5;1.7;0.5;0.1
