;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;6;1.9;0;7.7;0;3.1;2.9;0.1;4.5;16.5;0.6;0.5;1;16.3;24.3;24.1;13.4;0.8;8.7;18.5;50.2;3.7;0.1;17.2;0.1;39.2;0.1;1.3;9.2;3.7;0;np.nan
2010;7;0;10.2;26.7;1.2;0.1;5.5;3.4;0.8;0;0.4;7.4;6.3;3;4.2;6.4;10.6;0;7.1;3.5;54.3;4.2;0.1;0;0;0;0;4.7;0;0.2;0;0.5
2010;8;4.7;0;0;0;17;22.1;7.5;8.8;2.8;0.4;11.4;0.4;0.3;5.7;2;0.6;26.1;14.5;29.1;20.6;53.8;9.5;5.8;4.4;2.2;18.7;37.2;44.7;3.2;0;14.9
2010;9;28.9;16.6;4;8.7;22.1;3;12.1;0;2.8;5.6;14.7;19.9;26.8;5.1;27.9;0.2;0;31.2;21;18.8;44.2;21.9;5.2;8.8;1.8;6.5;33.8;19.7;4.9;9.1;np.nan
2010;10;13.9;38.4;1.8;0;0.3;18.1;1.4;3.1;1.4;0.1;0;7;0.5;3;20.9;0.6;1.2;0;50.9;0.3;10.6;3.9;5.4;0.9;0;0.4;0;0;7.9;0.9;3.9
2010;11;9.9;39.5;97.6;17.1;18.9;8.8;5.2;0.3;0;0.3;0;2.7;1.9;0;0;0.8;0;0;1.4;3.2;17.3;11.2;11;0.2;0;0.6;3.9;0.2;13.2;28.2;np.nan
2010;12;48.4;2.4;0;0;0.4;5.4;2.5;0.3;7.3;3.4;2.9;0.7;11.9;0.9;0;0;0;0;0.1;0;0;0.5;0.9;10.2;5.6;2.7;18.1;12.8;6.3;2.7;0
2011;1;12.6;11.4;0.8;0;0.3;0;0.8;0;0;1.4;14.4;4.6;3;10.2;1.6;0.1;0;0;0;0;0;0;0;0;0;0;0;3.3;1.1;0;0.5
2011;2;0;0;0.4;0.8;0;0;0;0;0;0;0;5.1;0.3;3.5;0.5;0;0.1;0;0;0;0;0;0;0;0;0;7.8;13.7;np.nan;np.nan;np.nan
2011;3;0.5;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.1;0.2;0;0;0.3;0;0;0;0;0;0;0;0;0;0
2011;4;0;0;0;0;0.2;0;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.9;0;0;0;np.nan
2011;5;0;0;2.3;2.6;2.9;3.7;0;22.3;0.9;0;0;11.2;0;2.2;0;0;0;0;0;0;8.3;25.1;8.2;0;0;5.6;0;4.9;0;6.2;2.2
2011;6;1.6;3.8;6.5;0;6.2;27.6;0;46.4;0;0;0;0;0;4.5;24.2;1.4;5.6;0;0;0;1.1;0;0;56.8;2.6;0;0;0;2.6;30.8;np.nan
2011;7;22.2;0;34;1.4;0;0;0;0;0;0;22.1;17.1;5.9;15.6;59;4.9;38.7;0;0;2.3;6.9;1.8;0;0;0;0;0;0.7;1.4;25.2;33.8
2011;8;0;0;0;0;0;0;0;0;0;0;0;1.5;6.4;5;10.4;1.5;0;2.6;0;0;0;0;0;30;51.8;8.4;0;40.6;2.5;0;0
2011;9;0;25.8;16.4;1.4;0;0;0;0;0;0;0;26.2;0;0;0;0;3.7;6.5;3.4;15.5;0;0;0;0;6.3;5.3;0;0;3.7;0;np.nan
2011;10;15.4;23.9;0;0;9;0;0;17.1;32;13.3;34.4;58.5;4.8;36;17;34.6;24.8;8.8;1.9;14.1;34.1;10.4;11.3;1.1;0;7.6;23.4;10.6;0;10;22.3
2011;11;0;0;0;13.8;0;0;0;0.6;20.5;4.6;2.7;1.2;0;0;27;3.1;0;0;0;0;4.9;0;6.9;9.8;42.9;4.9;5.9;2.4;1.2;3.8;np.nan
2011;12;5.7;3.6;0;0;0;0;4.3;0;0;6.2;25;27.7;15.2;2.3;3.9;0;5.1;0;0;0;0;4.1;21.5;1.6;0.3;0.2;0;0;3.8;0.2;0.1
2012;1;0.7;0.4;1;7.3;1.9;3.3;0;0;0;0;0;0;0;1.2;2.6;0;0;0;9.3;0;0;0;0;0;0;0;0;0;3.9;0;0
2012;2;0;0;0;3.1;0;0;3.9;17.4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7.5;0;np.nan;np.nan
2012;3;0;0;0;9.3;16.1;10.8;6.7;0;0;0;0;0;1.5;1.2;1.5;0.3;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0
2012;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.4;5.8;5.7;3.9;9.7;0;0.9;0;0;0;0;0;0;0;np.nan
2012;5;0;0;0;15.5;0;0;0;0;0;0;0;0;0;30;37.1;0;0;0;0;17.7;12.9;17.5;4.6;0;0;0;0;4.8;29.8;0;1.9
2012;6;8.8;0;0;0;0;9.9;0;0;0;6;36.1;7.1;13.4;0;0;0;0;0;0;0;0;11.4;0;0;0;5.6;0;0;3.9;4;np.nan
2012;7;0;0;0;4.8;2.8;0.8;0;2;0;0;0;0;0;0;0;0;0;0;5.2;0;0;0;8.5;13.6;0;6.9;44;31.2;51.5;0;0
2012;8;0;0;0;0;0;7.7;0;0;6.1;15.3;0;0;0;4.5;7.6;0;0;0;0;0;0;0;13.3;0;4.2;8.4;0;0;1.8;0;2.6
2012;9;2.1;2;0;0;1.3;0;0;0;4.9;9;6.4;0;0;1.2;0;0;0;0;0;0;0;0;0;1.4;0;0;32;21.8;21;20.3;np.nan
2012;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;12;0;0;0;2.1;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.3;2;0;13.8;10.8;29.3;2.2;0
2013;1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.1;0.6;0;0;0;0;0;0;0;0;0;0;np.nan;np.nan;np.nan
2013;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;4;11.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6;np.nan
2013;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.9;30.9;6.3;0;0;0;0;0;0;86.4;32.3;11.1
