;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2017;5;-;-;-;-;-;-;2.4;-;-;2.6;-;6.4;-;-;-;18.6;3;-;-;-;-;2.8;-;-;-;9.4;-;-;13.2;-;-
2017;6;-;-;-;-;-;-;6;11.8;3;4.4;1;1.8;0.2;1.4;1.4;0;0.4;18.4;3;1;0;4.2;0;2.4;0;0.8;6.8;10;1.2;0;-
2017;7;2.8;6;0;29.4;1.6;0.4;2.8;0;6.8;2;4.8;47.2;2;0;0;0;3.4;0;8.4;0.2;22.2;0.4;0.4;0;13.4;0.4;0.4;11;1.4;18;6
2017;8;0;0.4;0.2;0;33.2;15.2;3.2;0;2.4;0.4;0;4.4;10.8;0;0.8;0.4;3.2;0;2.4;2;0.8;0;0;13.6;23.6;0;0.4;0.4;17.2;0;0.8
2017;9;0;0;0;-;2.4;0.4;0.4;91.6;10;12.4;2.4;0;0;8;0.4;28.8;44.4;14.8;24.8;1.2;12;24;16.4;7.6;0;18.8;18.4;1.6;0.8;47.2;-
2017;10;8.8;8.8;5;32.2;11.8;0;0;0;0.8;0;0;0;0;0;0;0;0;0;1.8;0;1.4;4.2;24.4;4.2;0.2;7.2;1.4;0.6;0;1;0.2
2017;11;0.2;0;0;10.2;0.6;0;0;0.6;3.8;0;0;0.4;3;5.6;0.4;11.6;0;0;5.6;4.4;10;46.8;13.2;16.2;7;0.8;6.8;16;24;2.8;-
2017;12;3.6;0;6.8;10.4;7.6;2.4;5.8;4.6;8.6;21.4;17.2;7.8;4.6;0.4;0;3.8;1;3.2;0;19.2;13.8;1.8;10.2;3.6;20.6;0;2.8;1;1;11.2;7
2018;1;0.2;7;16.2;10.2;12.6;12.4;16.6;2;0.2;0;0;0;15.2;29.6;12.6;10.6;13.4;45.8;25;9.8;33.2;0;4.2;8.4;0.6;2.2;1;0;4.2;14;86.8
2018;2;15.6;5.6;1.8;0;0;0;0;1.8;0.8;25.8;0.2;12.8;6.8;0;10.6;17.2;6.4;0;0;0.4;23.6;19;3.8;0;0;0;3.6;0;-;-;-
2018;3;0;0;0;0;0;0.4;0;8.2;13.8;3.6;0;0;0;0;0.4;0;0;0;0;0.4;0;0;0.6;8.6;0;0;0;0;0;0.8;0.4
2018;4;0;0;0;0;0.2;3.4;1.6;0.2;0;0;1.2;0.4;0.2;0;0.8;0;2.6;0.8;1.4;1.4;5.8;0;4.8;2;7.8;0.2;6.8;0;0;3.8;-
2018;5;0;0;0;0;0;0;1.2;0.8;0;0;2;6.2;2.6;5.8;0;0;1;10.8;14;3.2;36.8;19.2;24.4;0;15.2;28.8;8;11;19;23.2;22.8
2018;6;1.2;3;17.2;12.2;3;5.8;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;9;-;-;-;-;-;3.8;9.8;7.2;0;5;0.2;10;0;0.2;1.8;0;1.6;0.2;0;1.8;0;0;3.4;0;0.2;11.6;0;13.4;3.6;14.6;-
2018;10;16.6;26.4;0.2;10.2;11.4;0;0;0;0;0;112.2;8;11;3.2;5;14.8;16;3;0.2;27;1.6;0;0;0;0;0;0.2;19.8;24.4;0;0
2018;11;1.4;6.6;4.4;23.6;0.4;0;0;0;0;1.6;5;37.4;1.2;9.8;12.6;3.6;14.8;6;8;22.4;24;7.8;0.2;0;0;0;10.2;0.2;1.2;0;-
2018;12;0.2;0;0;0;0;5;16.8;0;0;4.6;0.8;0;0;0;2.8;0.6;0;0;0;0;11.6;14.4;0.8;0.2;0.2;1.4;0;0;2.4;0;0
2019;1;0.2;15.6;0.2;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;1.8;5.8;0;0;0;0;0;0;0;0.6;0.6;0
2019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;1;36.8;10;3;0.2;-;-;-
2019;3;0.2;0.2;2.2;0.8;0;8.6;5;0.2;0.6;0.2;4.6;0.8;0;0;0.4;8.8;24.4;1;1;1.6;1;0;0.8;0;1.6;0;0.4;0;0;0.4;0
2019;4;0;0;0;0.4;0;0.4;0;4.8;3.4;14.6;0;0.2;0;0;0;0.2;0;0.8;0.4;0;0;1.2;0.2;0;0;0;0;3.6;14.4;3.4;-
2019;5;1.6;7.4;9.2;0.4;1.2;1.8;10;26.4;0;0;0;1.6;0.4;0.2;48.2;0;6.8;9.6;15.6;11.4;14.8;0.4;18.8;3.6;22.4;0.8;5.4;27.6;15.2;44.8;5.2
