;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2016;5;0;0;10.8;16.4;5.2;11.4;0.2;0;0;0;0;0.6;0.4;4.4;0;6;0.2;1.2;0;0;0.4;0.4;13;0;2.4;9.4;23;7.4;1;11.4;39
2016;6;1.6;15.4;3;22;16.6;0.6;0;18.6;0.2;4.8;3.2;0;0.4;1.6;0.2;0;1.4;24.4;0;12.4;20.6;2.8;14.6;3.2;2.6;0;0;1.2;5.2;4.6;-
2016;7;1;12.8;0;0.8;0;15.2;5.6;4.4;0.8;9.4;5.6;0.4;1.8;0;0;2.8;0;2.6;8.4;0.2;0;1.2;6;0;0;0.6;0.2;0.4;0;0;0
2016;8;0.2;0.4;26.4;0;0;0;0.4;0.2;9.6;4.6;2.4;11.2;1;0;0.2;0;0;0.6;3.6;0.2;0;6;5;0;0;0;15.4;11;0.2;9.2;1.8
2016;9;5;0;0;0;0.8;2;0.2;3.2;1.2;2;8.4;51.2;0.2;0;10.4;0.2;0.2;0.2;0;0;15;25;2;0.2;0;0;0;9.4;0;3.4;-
2016;10;0;4;0.4;1.8;38.4;52.4;37.8;3;5.8;0.4;12;20.6;2.4;0.2;0;25.4;116;38.8;13.2;0.4;20.6;0.2;1.8;1.6;0;0.4;0;0.6;0.4;0.2;2.8
2016;11;0.2;0;15.4;0.8;0.4;0.2;0.2;0;0;0;16;5.4;0;9;0.4;1.6;6.6;10;103.2;123.8;4.4;2.2;34.4;17;0;4.8;17;11.2;0.2;2.2;-
2016;12;10.4;0;0;9.4;0;0;0;3.2;8.6;1.8;15;10.8;0;0.4;8;9.2;0;0.2;1.8;16;3.6;1.8;3;0;0;11;9.2;2.2;3;0.4;1.2
2017;1;1.2;0.2;0;0;0;0;0.4;38.2;42.2;17;3.4;0.2;9.2;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0.4
2017;2;1.2;0;0;0.4;1.8;1.8;0;0;0.4;4.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;0;0.2;0;-;-;-
2017;3;0.8;1.2;1.8;1.6;0.2;0.4;0.2;0;0;2.6;0.6;0.2;0;0;0.2;0;1.6;1.6;0;0;0.4;0.8;2.2;1.8;0;0;0;0;0;0;0
2017;4;0;0.2;0;0;0;1.6;1.4;4;0.2;0;0;0;0;0.2;0;1.2;2.4;6.2;19.2;0.2;1;0.4;0;0;0;1.8;0.2;0;0;0;-
2017;5;0;0.6;0;23.4;102.6;4.6;27.2;8;25.4;6;2.4;9.6;2.6;7.2;6.2;65.2;23.2;3.2;13.2;3.2;12.4;31.2;0;3;3.8;13.8;0;4.8;21.8;0.2;0
2017;6;1;0;0;1.6;5.2;0;13.4;13;3.2;10.8;1;0;3;1.8;22.8;1;2.8;18.2;53;0.6;0;4.2;0;0.8;0.2;0;1.4;16.4;0.2;0;-
2017;7;1.2;15.4;0;18;0.4;1;1.8;0.2;4.2;0.4;4.6;5;0.6;0;0;0;0;0.2;8;0.6;2.2;0.4;0.8;0;9.4;0.2;0;5.6;0.6;25.4;5.8
2017;8;0.2;0;0;0;10.2;10.4;8;0.2;6.2;0.4;0;2.8;6.8;0;0.4;0.2;0.4;0;2.4;2.6;0;0;0;35.8;52.8;0.2;0.2;0.6;31.8;1;1
2017;9;0;0;0;0;8.6;0.2;0;17.4;2.8;20;25;0;0;1.4;0.2;41;38.8;8.6;61.6;8;53.2;59.2;25.6;9;2;13.2;37.8;3.4;7.4;50.4;-
2017;10;14.8;9.4;7.8;75.6;39.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;1;13.4;13;11.4;0.4;28.8;10;0.8;0.4;1.2;0
2017;11;0;0.2;0;21;0;0;0;0;1.6;0.2;0;0;3.8;0.6;0;24.4;0;0;0.6;2.2;10.8;15.6;14.8;6.2;3;0.2;3.4;10;11.8;1.6;-
2017;12;0.6;0.2;5;1.2;2.4;0.2;22.8;5;7.4;15;14.2;3.4;2.2;0.6;0;0;0.4;4.4;1.2;13.2;14.2;1.4;10.4;1.6;12.6;0;0.6;0.6;0;4.2;2
2018;1;0;0.8;23.2;14.2;15.6;11.4;13.8;2;0;0;0;0;6.6;18.4;5;16.4;3.2;25.6;5.4;2.2;13.8;1.2;1.2;3;0.4;0.8;0;0;1.6;8.4;45.4
2018;2;13.4;1.4;0.6;0;0;0;0;0;0.6;14.4;0;2.8;2.6;0;1.6;3;1;0;0;0;4;5.6;3.4;0;0;0;0.4;0;-;-;-
2018;3;0;0;0;0;0;0;0;1.2;3.2;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;0.2;0;0;0;0;0;0
2018;4;0;0;0;0;0;7;1.2;0;0;0;0;0.2;0;0;0.2;0.2;0;0.6;0;0.2;0.6;0;1.2;0.4;1;0;1.2;1;0.2;0.6;-
2018;5;0;0;0;0;0;0;0.4;0.2;0;0;0;3.2;30.8;2.2;0;39.6;3;14.2;1.2;19.2;6.8;4.6;16.2;0.4;25.2;36.2;0.6;13;23.6;5.6;41.8
2018;6;3.2;2.8;20.6;10.6;2.6;2.2;1;0.2;1.4;20.2;37.8;29.6;17;7.4;0.2;3.4;0;0;0.4;36.4;0.2;0.4;10.4;1.2;4.2;8;0.2;24.6;4.2;0.6;-
2018;7;3.4;2;0.2;0;7.8;3;5.4;2.6;0;7.4;6;0;28.6;51.6;23.8;24.4;1.8;8;7.4;4.8;3.2;7.4;4.8;0;6.8;4.4;10;0;2.8;3.2;0
2018;8;13.2;22.6;0;0;0.6;3.2;0.2;0.4;3.2;0.2;21.6;1.2;0;1.8;0;4.4;3.4;0.2;1.6;0;4.2;28;1;0.4;0.2;0;0;0;0;5.8;0
2018;9;2.8;0;0;0;29.4;0;18.2;6.4;7.2;40.4;0.2;1.2;0;0;4.2;0;0;2.2;0;1;0;2.4;10.8;0;0;8;0;29.6;3.8;19;-
2018;10;19.4;35;0.2;19;16.6;0;0.2;11.8;0;0;16.8;10;45.2;19.4;14.6;2.8;21.8;1;0.2;9.6;2.2;0;0;0;0;0;0;7.4;9;0;0
2018;11;0;10.2;0;10.8;0.2;0;0;0;0;0.2;2;18.2;0.4;4.2;3;1.4;5;3.6;6.4;8.2;13.8;1.6;0.4;0;0;0;2.4;0;0;0.2;-
2018;12;0;0;0;0;0;0.8;12;0;0;0.4;0.2;0;0;0;0.4;0.4;0;0;0;0;7.4;8.6;1.8;0;0;0;0;0;0;0;0
2019;1;0;5.8;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.8;0;0;0;0;0;0;0;0;0;0
2019;2;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;5.2;1;0;0;-;-;-
2019;3;1;0;0.4;0;0;2.6;3.6;0;0;0;0.4;0;0;0;0;1.2;6;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0
2019;4;0.8;-;0;0;0;0;0;1.2;6.6;14.6;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0.6;4.4;0;-
2019;5;0;1.6;1;0.2;0;0.4;3.8;18.2;0;0;6.6;9.4;0.2;0.2;40.2;0.6;3.2;6;47.2;30.8;47.8;2;27.8;14.8;33;1.8;6;39.4;20.2;9.8;9.8
2019;6;0;0;2.2;0.2;0;2;0;24.8;0.2;0.2;0;9;5.2;0.2;0;0.2;0;0.2;0.2;1.8;0;0;1;0.8;1;0;5;3.8;1.2;0;-
2019;7;0.6;0;15;4;0;0;3.6;8.8;0.8;0;0;0;0;26.4;14.8;0;0;5.8;0.4;0;2;6.6;1.2;0;5.2;1.6;0;2.4;0;0;0
2019;8;0;0.2;0;0;0;4.6;26.6;1.4;0;1.6;0;15.4;11.2;24.4;4;4.2;15.2;11.8;2.6;0;0;0;0;0;0;0.4;0;1;2.6;1.6;0
2019;9;0;0;0;0.8;0.8;0;6.6;0;0;0;0;12.6;0;0;6.4;0;1.6;0;29.6;51.2;22.2;2;13.2;11;1.6;1.4;18;13.4;0;0;-
2019;10;0.2;16.2;0;0.2;4.4;38.4;0.2;0;2.8;15.4;11.4;28.4;1;72.8;1.4;0.2;0;1.6;0.2;30.6;0;5.4;0;24.8;51.2;4.8;0;6;0;3.8;0.2
2019;11;5.8;2.8;0.2;0;0;9.8;2.8;2.2;3.4;0.2;0;0.4;0;2.8;0.8;0;0.4;0;8;2;0;0;0;5;1.8;0.2;11.6;83.4;28.6;0.2;-
2019;12;0;0;2.8;0;4.2;12;0.2;0;0.8;0;1.4;2.4;0;0;0;0;0;0;2.6;3;1.4;2;0.2;5.2;3.8;0.8;0.8;2.6;0;0;0
2020;1;0;0;0;0;3.8;3.8;0.2;24.8;4.2;1.6;0;17.4;30.8;11.2;5.6;0;3.4;14.6;9.6;3;2.6;1.8;0.4;0.2;0;0.2;0;2.4;0.8;0.2;0
2020;2;0.6;11;1.8;0;0;0;0;0;1.4;0;0;0;0.2;0;0;12.4;1.6;0;0.2;0.8;5.2;0.4;0;0;0;0;0;0;8.2;-;-
2020;3;0.6;0;0;0.8;0;0;0;0;0;0;0.8;1.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0.4;0;0
2020;4;0;0;0;0;0;0;2.6;0;0;0;0;0;0;1.2;2.2;0;0;0.2;0;1.4;0.2;0;1;0.2;0;0;0.2;3.8;0.2;0.4;-
2020;5;0.4;1;0;0;0;0;1.6;0.2;0;0.4;1;1.6;0;0;0;0;1.6;4.4;1.6;12.4;30;5.8;11.6;0;0.6;3.2;40.4;32.8;3.8;14;7
2020;6;10.8;1.2;11;24.8;10.2;7.4;0.2;0;2;1.2;2.4;9.4;27;0;37.6;32.2;0;0;0;5.4;12.2;0;0;0.4;0;2.6;9.8;0;3;2.4;-
2020;7;4.8;4.4;2.4;3.6;0;0;0;1.6;7.6;0;6;0.2;7.4;1.8;4.4;0;0;0;1;1;0;0.2;2.6;0.2;1.6;0.8;12.6;5.6;0.2;0.2;0
2020;8;0;0;0;0.4;23.2;0;0;0.8;2.4;0;0.2;0.2;13.4;15.8;17.8;0.6;0.2;0;0;4.4;54.8;0.2;0;0;0;0.2;0.2;4;0.6;2.8;0
2020;9;23.4;37;32.2;0.8;0;0.4;17;0.2;0;0;0;18;0.2;32;0.2;0;5;26.8;1.8;0.2;0;0;1.6;63.4;4.6;1.4;2.6;3.8;0;1.8;-
2020;10;1.8;32;17.8;3.6;6.2;2.6;40.6;42.8;0.2;2.2;1.4;2.8;0;16.4;4;0;0.4;0.6;6.6;16.4;12.8;0;19.2;4.6;11;0.2;0;0.2;0.2;17.6;7.8
2020;11;40.8;3;28.6;24.4;21.2;0;0;0;0.4;22.4;2.6;0;0.2;2.8;0.6;0.2;3.2;4.8;5.4;9.4;5.2;27.8;2.2;4.4;0;0;0;0;0;1.6;-
2020;12;5.6;12.2;2.2;0;0;0;0.6;11;11.4;20;8.4;0.2;0;0;0.2;0;2.6;1.2;7;6.2;0;3.2;18.4;1.8;0;3.4;25.6;24;1.2;0;0
2021;1;0.6;2.2;0;1.2;0;0;-;0;0.4;3.4;2;19;1.2;0;0;0;0;0;2.6;12.4;15;0.6;0;0;0;0;0;1.2;10.2;1;0.2
2021;2;0;3.2;2;0.4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;2;0.2;1.8;0;0;0;0;0;0;1.2;0;-;-;-
2021;3;1.2;1.8;0;0.2;0;0;0;0.6;1.2;0.4;0.4;0;0.6;0;0;0;0.2;1.2;1.8;0.6;1;0;0.2;0;0;3.4;0.6;0;1;8.2;18.4
